Trap,Camera,Latitude,Longitude,Setup_date,Retrieval_date,Problem1_from,Problem1_to,TrailType
PS1,CamA,-32.67982,152.18388,05/12/2021,21/02/2022,,,Walktrail
PS1,CamB,-32.67982,152.18388,05/12/2021,21/02/2022,,,Walktrail
PS2,CamA,-32.657412,152.185272,05/12/2021,21/02/2022,,,4wdtrack
PS2,CamB,-32.657412,152.185272,05/12/2021,21/02/2022,,,4wdtrack
PS3,CamA,-32.63617,152.20218,05/12/2021,21/02/2022,,,4wdtrack
PS3,CamB,-32.63617,152.20218,05/12/2021,21/02/2022,,,4wdtrack
PS4,CamA,-32.60925,152.2137,05/12/2021,21/02/2022,,,Walktrail
PS4,CamB,-32.60925,152.2137,05/12/2021,21/02/2022,,,Walktrail
PS5,CamA,-32.60284,152.23293,05/12/2021,21/02/2022,,,4wdtrack
PS5,CamB,-32.60284,152.23293,05/12/2021,21/02/2022,05/12/2021,17/12/2021,4wdtrack
PS6,CamA,-32.58665,152.27344,05/12/2021,21/02/2022,05/12/2021,17/12/2021,4wdtrack
PS6,CamB,-32.58665,152.27344,05/12/2021,21/02/2022,,,4wdtrack
PS7,CamA,-32.56103,152.28714,05/12/2021,21/02/2022,,,Walktrail
PS7,CamB,-32.56103,152.28714,05/12/2021,21/02/2022,,,Walktrail
PS8,CamA,-32.53981,152.3132,05/12/2021,21/02/2022,,,Walktrail
PS8,CamB,-32.53981,152.3132,05/12/2021,21/02/2022,,,Walktrail
PS9,CamA,-32.51167,152.32956,05/12/2021,21/02/2022,,,4wdtrack
PS9,CamB,-32.51167,152.32956,05/12/2021,21/02/2022,,,4wdtrack
PS10,CamA,-32.50121,152.32883,05/12/2021,21/02/2022,,,Walktrail
PS10,CamB,-32.50121,152.32883,05/12/2021,21/02/2022,,,Walktrail
PS11,CamA,-32.48169,152.35347,05/12/2021,21/02/2022,,,Unsealedroad
PS11,CamB,-32.48169,152.35347,05/12/2021,21/02/2022,,,Unsealedroad
PS12,CamA,-32.5004,152.3555,05/12/2021,21/02/2022,,,Walktrail
PS12,CamB,-32.5004,152.3555,05/12/2021,21/02/2022,,,Walktrail
PS13,CamA,-32.4571,152.38283,05/12/2021,21/02/2022,18/12/2021,23/01/2022,4wdtrack
PS13,CamB,-32.4571,152.38283,05/12/2021,21/02/2022,,,4wdtrack
PS14,CamA,-32.48103,152.39821,05/12/2021,21/02/2022,,,Walktrail
PS14,CamB,-32.48103,152.39821,05/12/2021,21/02/2022,,,Walktrail
PS15,CamA,-32.46137,152.42685,05/12/2021,21/02/2022,05/12/2021,18/12/2021,Unsealedroad
PS15,CamB,-32.46137,152.42685,05/12/2021,21/02/2022,,,Unsealedroad
PS16,CamA,-32.44598,152.43916,05/12/2021,21/02/2022,,,4wdtrack
PS16,CamB,-32.44598,152.43916,05/12/2021,21/02/2022,,,4wdtrack
PS17,CamA,-32.42615,152.47166,05/12/2021,21/02/2022,,,Unsealedroad
PS17,CamB,-32.42615,152.47166,05/12/2021,21/02/2022,,,Unsealedroad
PS18,CamA,-32.46056,152.46057,05/12/2021,21/02/2022,05/12/2021,19/12/2021,4wdtrack
PS18,CamB,-32.46056,152.46057,05/12/2021,21/02/2022,,,4wdtrack
PS19,CamA,-32.44154,152.49286,05/12/2021,21/02/2022,05/12/2021,19/12/2021,4wdtrack
PS19,CamB,-32.44154,152.49286,05/12/2021,21/02/2022,,,4wdtrack
PS20,CamA,-32.39972,152.50082,05/12/2021,21/02/2022,,,Walktrail
PS20,CamB,-32.39972,152.50082,05/12/2021,21/02/2022,,,Walktrail
PS21,CamA,-32.43413,152.51566,05/12/2021,21/02/2022,,,4wdtrack
PS21,CamB,-32.43413,152.51566,05/12/2021,21/02/2022,,,4wdtrack
PS22,CamA,-32.40055,152.46797,05/12/2021,21/02/2022,,,Unsealedroad
PS22,CamB,-32.40055,152.46797,05/12/2021,21/02/2022,,,Unsealedroad
